,aud_nationwide,log_aud
107,4968687,15.41866618
280,56866,10.948452900000001
688,678091,13.42703678
375,54144,10.89940244
665,3033052,14.92507993
589,661965,13.40296796
423,366442,12.81159553
581,1314274,14.08879498
89,73549,11.20570713
80,90416,11.41217652
573,2424330,14.70106576
904,88055,11.3857169
463,58384,10.97479716
30,573657,13.25978694
10,2314520,14.65471288
310,1111158,13.92091327
182,56515,10.94226137
752,2812310,14.84951677
456,72926,11.19720051
496,946547,13.76057591
397,1675798,14.33180003
664,3491857,15.06594424
157,142456,11.86678846
546,81680,11.31056445
753,2516128,14.73823177
77,98495,11.49776106
768,843703,13.64555582
1,8911437,16.00284607
232,405792,12.91359599
175,76343,11.24299162
398,1634403,14.30678816
370,63800,11.06350847
694,485056,13.09201963
615,174223,12.06809137
308,1153109,13.95797233
4,3872015,15.1692856
432,201365,12.21287446
198,4703245,15.36376325
116,2053085,14.5348541
286,11565078,16.2635006
502,590036,13.28793883
204,2292929,14.645340599999999
431,232016,12.35456161
174,77621,11.25959329
543,90643,11.41468399
830,41448,10.63219491
71,119518,11.69122227
213,1168268,13.97103287
202,3317196,15.01463041
873,436207,12.98587218
851,1444952,14.18358666
119,1584168,14.27556991
177,63954,11.06591935
721,93691,11.44775741
284,54972,10.91457924
340,146548,11.895108300000002
13,1891993,14.45314133
227,477848,13.07704797
841,3678156,15.1179221
318,689071,13.44309959
778,412850,12.93083961
567,3783341,15.14611804
765,1157583,13.96184477
457,72849,11.19614408
549,65895,11.09581785
522,318737,12.67212159
459,66074,11.09853061
488,1786383,14.39570346
199,4142912,15.23690948
816,72950,11.19752955
782,323098,12.68571096
129,654102,13.39101858
90,62071,11.03603417
823,49509,10.80990975
126,809327,13.60395832
279,58784,10.98162499
163,111127,11.61842897
111,2839921,14.85928679
652,35870,10.48765657
706,264766,12.4866017
372,59147,10.98778115
887,174938,12.0721869
667,2820029,14.85225773
675,1593386,14.28137187
643,47540,10.76932674
921,34723,10.45515757
72,116444,11.66516575
2,6125154,15.62791446
317,703024,13.46314631
347,119964,11.69494698
288,7118592,15.77822051
12,2191793,14.60023049
309,1124815,13.93312914
682,1002858,13.81836448
855,1144894,13.95082261
108,4875494,15.39973199
429,272736,12.51625957
559,50783,10.83531693
181,58487,10.97655979
840,4573902,15.33587723
897,114796,11.65091192
698,450374,13.01783363
723,86784,11.37117755
42,325016,12.69162969
304,2044564,14.53069512
490,1468301,14.19961651
614,182545,12.114752000000001
842,3657536,15.11230025
445,117401,11.6733507
515,354601,12.77874849
521,321018,12.67925248
802,116059,11.66185396
525,226933,12.332410099999999
371,60365,11.00816475
455,78930,11.27631666
338,160860,11.9882897
374,55342,10.92128739
55,248215,12.42205059
727,67368,11.11792541
216,1069436,13.88264196
542,94281,11.45403496
40,344766,12.75062121
426,350129,12.76605694
704,267896,12.49835412
638,55804,10.92960083
814,88054,11.38570554
178,63073,11.05204806
176,66075,11.09854574
809,94119,11.45231522
58,219621,12.29965861
719,108780,11.59708277
409,668576,13.41290536
16,1743774,14.37156229
576,1708672,14.35122702
650,36335,10.50053674
376,53018,10.87838676
637,58340,10.97404324
535,134827,11.81174775
414,501286,13.12493208
452,96462,11.47690443
701,315010,12.66035966
591,540558,13.20035722
626,101173,11.5245872
382,3616250,15.10094814
29,716386,13.48197441
882,210945,12.25935271
343,135094,11.81372611
620,137841,11.83385613
356,86293,11.36550376
777,428009,12.9668995
739,41054,10.62264355
203,2937941,14.89321955
32,503516,13.12937077
770,686809,13.43981151
824,48942,10.7983912
156,156376,11.96001864
854,1176076,13.97769403
334,219047,12.2970416
471,8539495,15.96021243
566,5043771,15.43366457
540,98231,11.49507713
355,89510,11.40210563
3,4565888,15.33412358
784,291328,12.58220506
130,616481,13.33178278
582,1251725,14.04003316
342,139717,11.84737423
773,575353,13.26273904
878,286806,12.56656131
321,596487,13.29881273
222,678368,13.42744519
328,384789,12.86045041
910,59397,10.991999
441,126384,11.74708017
113,2744413,14.82507777
48,282662,12.55200712
289,7049643,15.76848754
803,104950,11.56123933
206,2007180,14.51224131
578,1387508,14.14301989
285,54450,10.90503813
691,527331,13.17558371
225,554784,13.22633413
612,198013,12.19608796
120,1124918,13.9332207
476,4945484,15.41398539
391,2153152,14.58244337
556,54988,10.91487026
221,731551,13.50292222
893,136869,11.82677954
171,87301,11.377117199999999
716,154297,11.9466346
711,182256,12.11316757
815,76746,11.24825655
849,1804112,14.40557906
726,69834,11.15387628
536,125402,11.73927986
748,8271797,15.92836233
123,962770,13.77756983
386,2570874,14.75975648
180,60981,11.01831762
161,113404,11.63871194
654,12253247,16.32130152
453,94750,11.45899712
117,1820760,14.41476455
599,387794,12.86822955
889,143944,11.87717961
707,217444,12.28969663
827,42484,10.65688281
669,2414062,14.69682136
462,60935,11.017563
524,238587,12.382489300000001
240,278914,12.53865877
134,431310,12.97458237
155,160148,11.98385367
353,94243,11.45363183
139,346483,12.75558903
860,958775,13.77341171
418,433825,12.98039651
60,204742,12.22950593
858,1054968,13.86902099
558,51867,10.85643803
165,106030,11.57147735
658,5440186,15.50932381
300,2601734,14.771688699999999
214,1156727,13.96110502
407,764072,13.546417300000002
468,48051,10.78001823
297,2979659,14.90731942
394,2070084,14.54309974
131,609063,13.31967699
314,921317,13.73355945
843,2917213,14.88613927
684,874967,13.68194145
678,1179031,13.98020347
804,104408,11.55606158
526,215203,12.27933705
38,360445,12.79509466
249,189047,12.14975094
436,159948,11.98260404
402,1176711,13.97823382
53,257381,12.45831276
194,46411,10.74529178
136,428429,12.96788031
444,119197,11.68853287
795,183784,12.12151643
281,56476,10.94157105
35,413577,12.93259899
512,401541,12.90306492
575,2253717,14.62809141
797,172212,12.05648155
378,5316325,15.48629283
66,149181,11.91291561
532,155368,11.95355178
839,4743184,15.372219199999998
763,1437648,14.178519
52,262943,12.47969256
377,7817446,15.87186846
662,3772620,15.14328028
871,513375,13.14876185
886,181400,12.10845982
239,289645,12.57641131
246,214003,12.27374531
868,591043,13.28964405
425,351276,12.76932752
552,62454,11.04218556
28,786257,13.57503899
796,177340,12.08582407
265,94926,11.46085292
601,310695,12.646567
799,142065,11.86403998
244,234539,12.36537716
103,6246849,15.64758773
276,68815,11.13917702
393,2125953,14.56973073
110,3239371,14.99088973
76,107441,11.58469714
159,122574,11.71647021
458,72495,11.19127287
235,308180,12.63843931
464,56907,10.94917364
411,629322,13.35239833
846,2409062,14.69474802
112,2803234,14.84628431
632,86841,11.37183414
848,2146766,14.57947308
529,175367,12.074636199999999
513,383517,12.85713923
329,331877,12.712519699999998
262,115704,11.65879048
223,652453,13.38849438
915,42914,10.66695339
894,133373,11.80090499
856,1140876,13.94730695
510,415255,12.93664807
606,229005,12.34149912
167,100026,11.51318543
863,672130,13.41820705
241,256035,12.45306943
699,395408,12.88767342
743,34897,10.46015614
154,161245,11.99068023
876,321726,12.68145553
24,1101678,13.91234503
294,4662534,15.35506964
845,2464978,14.71769344
443,124112,11.72893966
659,5293435,15.48197793
776,429719,12.97088679
150,185960,12.13328688
41,326887,12.69736982
346,125800,11.74244862
94,52816,10.87456945
519,333082,12.71614398
217,1061412,13.87511066
710,186191,12.13452831
381,3628949,15.10445363
23,1110214,13.92006335
268,85166,11.35235757
388,2447246,14.71047387
923,31888,10.36998504
352,95542,11.46732122
416,459421,13.03772228
292,5446239,15.51043584
200,3984812,15.19800069
173,79840,11.28777991
100,13395400,16.41042192
25,955175,13.76964985
700,375312,12.83551296
769,765595,13.54840859
489,1721757,14.35885584
551,63258,11.05497688
354,93005,11.44040853
597,506182,13.13465157
242,236971,12.37569305
924,31866,10.36929489
73,116119,11.66237081
891,140396,11.85222228
118,1593694,14.28156515
114,2625686,14.78085275
520,323628,12.68734999
5,3828994,15.15811266
475,5636259,15.54473111
608,217803,12.29134626
696,474137,13.06925159
69,136134,11.82139497
14,1872677,14.44287952
916,40985,10.62096143
792,197134,12.19163898
369,65145,11.08437083
78,92598,11.43602282
479,4012889,15.20502199
672,1967721,14.49238658
54,256475,12.45478647
467,49479,10.80930362
266,92821,11.43842819
728,58185,10.97138287
514,380581,12.84945431
537,118985,11.68675271
870,553879,13.22470153
503,535084,13.19017902
563,11202637,16.23165975
166,100523,11.51814184
641,49682,10.81339797
331,318977,12.67287428
668,2524086,14.74138957
247,203775,12.22477172
373,55355,10.92152227
911,58645,10.9792576
472,7257973,15.79761115
499,821419,13.61878861
879,277319,12.53292375
565,5398994,15.501723199999999
780,357902,12.78801448
307,1157156,13.96147583
501,770801,13.55518551
234,313164,12.65448229
666,2949944,14.89729675
430,255180,12.44972446
857,1114941,13.92431205
191,49558,10.81089898
151,184469,12.12523671
435,177483,12.08663011
256,144827,11.88329521
712,170878,12.04870513
618,150215,11.91982288
811,92043,11.43001114
541,97017,11.4826415
569,3417629,15.04445759
383,3045449,14.929158900000001
145,257716,12.45961348
864,662874,13.40434021
819,57509,10.95969674
533,154966,11.95096102
215,1100120,13.91092982
705,267785,12.4979397
833,13369087,16.40845566
617,151708,11.9297129
196,8677032,15.97619009
781,345521,12.7528087
495,1028384,13.8434992
17,1712142,14.35325578
718,114536,11.64864446
27,855980,13.66000229
277,65887,11.09569643
395,1821000,14.41489636
228,476665,13.07456922
320,611097,13.32301098
147,224657,12.32233007
877,305504,12.62971815
494,1305145,14.0818247
449,102170,11.53439337
663,3747952,15.13672012
106,5129409,15.45050101
350,103852,11.55072209
523,258478,12.46256586
389,2420729,14.69957929
448,108730,11.59662302
93,55892,10.93117654
259,134029,11.80581147
554,55784,10.92924237
822,51065,10.84085461
170,87426,11.378548
254,148512,11.90842104
602,305582,12.62997343
252,169855,12.04270041
306,1399771,14.15181921
547,79446,11.28283282
737,44141,10.69514433
880,248320,12.42247352
428,276379,12.52952839
186,53233,10.88243378
269,82210,11.31703223
162,112121,11.62733392
413,518886,13.15943948
717,137775,11.8333772
874,387342,12.8670633
98,45166,10.71809987
6,3247558,14.99341389
742,37241,10.52516558
789,224160,12.32011536
611,213980,12.27363783
229,446664,13.00956191
264,103542,11.54773261
368,66314,11.10215632
646,40882,10.61844515
798,164372,12.00988743
783,293258,12.58880805
829,41525,10.63405093
403,1085087,13.89717073
677,1258317,14.04528567
610,214949,12.27815607
189,51207,10.84363152
332,288016,12.57077131
303,2384782,14.68461827
260,133736,11.80362299
144,260518,12.47042724
627,99952,11.51244535
283,55330,10.92107054
790,202756,12.21975856
11,2192172,14.60040339
754,2397792,14.69005887
594,528007,13.17686482
531,166252,12.02125999
469,47668,10.77201559
127,806520,13.60048397
681,1011580,13.82702402
57,219678,12.29991812
33,472693,13.06620141
237,297356,12.60268535
852,1245532,14.03507331
282,55765,10.92890171
586,990104,13.80556527
362,69586,11.15031868
243,234746,12.36625936
603,286042,12.56389393
92,56547,10.94282743
210,1278894,14.0615062
337,192668,12.16872378
301,2594028,14.76872244
85,78070,11.26536114
190,50196,10.82369062
39,351208,12.76913392
500,814587,13.61043652
623,111541,11.62214752
507,465265,13.05036241
634,67602,11.12139285
516,347790,12.75935413
104,6126488,15.62813222
747,9577981,16.07497738
233,356976,12.78542383
676,1543800,14.24975747
105,5440520,15.509385199999999
341,142577,11.86763748
253,169257,12.03917355
408,675966,13.42389806
422,383336,12.85666717
208,1426873,14.17099589
905,87029,11.37399668
713,170743,12.04791478
82,83334,11.33061191
497,888386,13.69716161
850,1609737,14.29158137
583,1183959,13.98437447
722,93000,11.44035477
87,76803,11.24899898
64,151833,11.93053651
270,82148,11.31627778
605,229346,12.34298706
274,74977,11.22493668
902,93085,11.44126833
733,48462,10.78853526
826,42727,10.66258632
153,161382,11.9915295
613,191880,12.16462546
724,83474,11.33229049
410,646195,13.37885659
517,341614,12.74143672
44,305100,12.62839487
625,108344,11.59306663
390,2310054,14.65278146
220,820800,13.61803475
140,332180,12.71343227
349,109137,11.60035925
357,80754,11.29916278
133,470990,13.06259214
261,120352,11.69817606
278,60977,11.01825202
79,91164,11.42041536
900,101913,11.53187479
115,2625572,14.78080934
756,1949372,14.48301783
774,563114,13.24123737
380,3653238,15.11112446
862,728345,13.49853012
184,55396,10.92226267
731,55919,10.93165949
358,79812,11.28742915
36,387409,12.86723626
339,151360,11.92741638
775,466475,13.05295971
420,427764,12.96632692
149,214284,12.27505752
9,2330813,14.66172769
45,298298,12.60584827
95,51884,10.85676574
835,8020208,15.89747491
920,37282,10.52626592
548,78440,11.27008928
560,47088,10.75977347
298,2718158,14.815465
290,6965706,15.75650952
415,475309,13.0717204
313,971194,13.78628152
421,412843,12.93082265
657,5447826,15.51072719
122,984265,13.79965045
779,410131,12.9242319
757,1901684,14.45825037
361,69881,11.15454907
336,212599,12.26716304
135,428855,12.96887415
787,262233,12.476988699999998
709,189948,12.15450563
651,35919,10.48902168
367,66562,11.10588912
888,167333,12.02774112
837,5247794,15.47331836
619,140849,11.85544367
8,2801949,14.8458258
97,46079,10.73811259
896,117019,11.67009159
348,117362,11.67301845
509,446379,13.00892365
883,199240,12.20226541
703,277206,12.53251619
746,13918759,16.44874806
21,1472006,14.20213665
482,3279296,15.00313932
892,138118,11.83586367
405,836140,13.63655134
912,56787,10.94706271
806,102223,11.53491198
478,4018035,15.20630354
590,554521,13.22585996
491,1386611,14.1423732
46,289534,12.57602801
364,68897,11.14036791
296,3100113,14.94694912
49,268255,12.4996933
487,1934192,14.47520023
224,634953,13.36130626
750,3389035,15.03605578
219,848148,13.65081043
872,501934,13.12622392
761,1506942,14.22559299
913,56087,10.93465934
647,37343,10.52790076
201,3586346,15.09264441
562,44839,10.71083358
622,118612,11.68361294
917,40647,10.61268031
63,154342,11.946926199999998
604,242164,12.39737046
245,229059,12.34173489
442,124601,11.73287191
810,92713,11.43726398
574,2299732,14.64830315
0,10494499,16.16636177
539,103054,11.5430084
767,862203,13.66724602
762,1475087,14.20422753
689,665364,13.40808954
187,52197,10.8627803
406,765259,13.54796962
148,223216,12.31589519
751,3361851,15.02800227
26,955149,13.76962263
461,62033,11.03542178
670,2285143,14.64193916
655,9224582,16.03738244
785,287141,12.56772866
59,212154,12.26506771
714,169677,12.04165191
326,510878,13.14388609
424,355913,12.7824416
720,107087,11.58139687
477,4853778,15.39526793
43,309729,12.643453
661,3888096,15.17343014
635,64405,11.07294655
528,175889,12.07760839
736,45764,10.73125303
483,2788732,14.84109757
218,918678,13.73069096
741,37764,10.53911155
820,54410,10.90430324
919,38108,10.54817951
853,1202394,13.99982513
609,217785,12.29126362
485,2050909,14.53379367
125,825517,13.62376514
836,6290806,15.65459976
61,186184,12.13449071
81,85200,11.35275671
680,1072006,13.88504222
324,515522,13.15293526
385,2735719,14.82190485
918,39980,10.59613461
56,233347,12.3602819
19,1559430,14.25983093
885,184796,12.12700779
86,78049,11.26509211
758,1826714,14.41802928
649,36737,10.5115397
316,757430,13.5376864
34,465492,13.05085019
808,101293,11.52577259
138,391760,12.87840469
766,1022790,13.83804475
588,765813,13.54869329
498,863567,13.66882676
538,110834,11.61578887
800,137294,11.82987989
555,55110,10.91708647
96,46589,10.74911974
83,82779,11.32392969
446,116851,11.6686549
474,6592151,15.70139026
764,1186283,13.98633545
366,66883,11.110700099999999
697,459020,13.03684906
585,1077235,13.88990813
866,645082,13.37713272
760,1624364,14.30062691
401,1201576,13.99914459
759,1754375,14.37762323
392,2128572,14.57096189
867,637021,13.3645579
745,16263360,16.60442528
271,79701,11.28603741
506,487897,13.0978596
922,32684,10.39464094
434,177601,12.08729474
648,37300,10.52674861
807,101694,11.52972358
561,46469,10.746540699999999
207,1724927,14.36069529
319,627102,13.34886449
906,73305,11.2023841
132,550728,13.21899632
50,266389,12.49271293
238,294320,12.59242289
564,5519169,15.52373786
592,540410,13.20008339
450,100021,11.51313544
31,519983,13.161551399999999
121,1046015,13.86049826
211,1202842,14.00019765
351,96305,11.47527552
454,82177,11.31663074
302,2517805,14.73889805
708,215029,12.27852818
88,75598,11.23318511
325,513202,13.14842481
323,551897,13.22111671
255,146338,11.89367429
570,2675559,14.79966889
545,82863,11.32494392
550,63279,11.0553088
359,75704,11.23458628
51,265744,12.49028872
875,336074,12.72508665
772,656492,13.39466579
102,7055074,15.76925763
195,9699092,16.08754283
679,1167150,13.97007544
805,102826,11.54079352
628,97777,11.49044465
124,827918,13.62666939
404,930866,13.74387061
730,57331,10.95659677
287,7487545,15.82875153
831,38262,10.55221252
47,283292,12.55423345
725,77794,11.26181959
587,903175,13.71367161
607,223740,12.31823994
433,189620,12.15277735
674,1599290,14.28507034
263,111902,11.62537877
360,72071,11.18540702
75,111005,11.61733052
466,53779,10.89263834
299,2611966,14.77561375
534,137052,11.82811569
584,1125238,13.93350513
493,1373316,14.13273881
527,203045,12.22118291
168,93534,11.44608029
