,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
0,남산의 부장들,2020-01-22,"33,670,891,220",23.4%,"33,670,891,220","3,874,419","3,874,419","1,659","80,854",한국,한국,(주)하이브미디어코프,(주)쇼박스,15세이상관람가,드라마,우민호,"이병헌,이성민,곽도원,이희준,김소진,김승훈,박성근,서현우,지현준,박지일,이태형,주석태,이도국,김민상,이양희,정미형,조혜주,김명선,이하영,전우재,손병욱,윤충,염석무,박현우,김태훈,최재훈,조영규,이수광,박기만,엄지만,천명재,김낙균,천재홍,김지나,이태호,정종우,윤기창,손인용,박소윤,이영용,김성철,장은채,유정호,정문용,신하준,이승진,제리 렉터,정원석,오진석,남승화,유대식,장의돈,구윤회,양재훈,김동환,이광식,김병남,오대환,이충훈,이병관,김지성,박하균,이상철,김홍파,김용우"
1,백두산,2019-12-19,"16,891,094,350",11.8%,"69,796,884,120","1,958,389","8,248,891","1,241","73,893",한국,한국,"주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,씨제이이앤엠(주)","씨제이이앤엠(주),(주)덱스터스튜디오",12세이상관람가,"어드벤처,드라마","이해준,김병서","이병헌,하정우,마동석,전혜진,배수지,김연교,정윤하,이상원,옥자연,한수현,강신철,이경영,조한철,최광일,김시아,임형국,박주환,남성준,서현우,김민식,박지홍,김준원,남문철,박성근,전도연,이정민,최정현,박태산,양지수"
2,히트맨,2020-01-22,"16,122,374,840",11.2%,"16,122,374,840","1,874,016","1,874,016","1,122","48,942",한국,한국,베리굿스튜디오(주),롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"코미디,액션",최원섭,"권상우,정준호,황우슬혜,이이경,이지원,허성태,조운,허동원,이준혁,이중옥,안성봉,주서은,권유준,이상이,오자훈,배민준,박경근,손성찬,문정대,이건구,하경민,김사란,신수오,조셉,손태양,채인우,김건,서성균,박가은,안보라,권반석,황태희,김원영,변동욱,강현우,정수용,심상윤,이윤규,신희정,윤동주,심홍섭,배재성,이재남,장필상,박지해,나승준,손지민,이한종,아우 티투 솔루키,문정수,김원중,김흥태,김관영,김대근,우광제,이왕수,남승화,이창섭,이금용,임효우,박현선,주창욱,문형돈,원우,최재현,올렉 오스트로스키,디미트리 키에르베,서정훈,신기원,박예찬,임효진,설윤지,강영준,옥주리,김풍,황병국,김미희,한철우,이상원,김길동,배진웅"
3,닥터 두리틀,2020-01-08,"13,395,322,970",9.3%,"13,395,322,970","1,598,856","1,598,856","1,290","67,658",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"판타지,어드벤처",스티븐 개건,"로버트 다우니 주니어,톰 홀랜드,라미 말렉,안토니오 반데라스,마리옹 꼬띠아르,마이클 쉰,옥타비아 스펜서,쿠마일 난지아니,존 시나,셀레나 고메즈,랄프 파인즈,엠마 톰슨,크레이그 로빈슨"
4,해치지않아,2020-01-15,"9,966,878,950",6.9%,"10,095,111,950","1,186,777","1,201,814","1,216","50,490",한국,한국,"(주)디씨지플러스,(주)어바웃필름",(주)에이스메이커무비웍스,12세이상관람가,코미디,손재곤,"안재홍,강소라,박영규,김성오,전여빈,박혁권,장승조,조한준,문동혁,한예리,서현우,박형수,김흥래,김수진,윤대열,이현욱,오재균,조민경,손경원,김경민,안성봉,송수영,윤재인,한사명,전운종,양말복,김비비,김그림,박윤호,김현,박기륭,이정민,윤우중,정원형,장원형,송유현,조은유,임새라,주부진,손희순,남정희,김남순,권범택,원근희,손영희,김정현,이다영,박중금,양현진,박소영,조혜선,경규민,이다인,장정우,이경민,김규희,박보은,이하영,서은솔,송지우,양희원,김하연,김태연,박시윤,윤성우,진현광,배은우,최찬호,설창희,변상윤,박영빈,유은조,김경로,오석철,고민지,최정현,배진호,이윤상,유정호,노수산나,김기천"
5,천문: 하늘에 묻는다,2019-12-26,"8,678,111,110",6.0%,"16,486,354,060","1,029,221","1,994,845",929,"43,039",한국,한국,(주)하이브미디어코프,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,사극,허진호,"최민식,한석규,신구,김홍파,허준호,김태우,김원해,임원희,오광록,박성훈,전여빈,김승훈,박기륭,김병남,안문주"
6,미드웨이,2019-12-31,"7,102,189,070",4.9%,"8,187,848,590","818,269","951,642",842,"32,438",미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,드라마",롤랜드 에머리히,"에드 스크레인,패트릭 윌슨,우디 해럴슨,루크 에반스,아사노 타다노부,닉 조나스"
7,시동,2019-12-18,"6,853,925,560",4.8%,"28,090,403,360","789,954","3,315,940",825,"34,718",한국,한국,(주)외유내강,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,최정열,"마동석,박정민,정해인,염정아,최성은,김종수,이해운,김자영,윤경호,고두심,김경덕,김민재,박해준,허준석,김미화,성혁,손석배,홍인,이수빈,방은정,조재영,김대곤,강덕중,박성일,백주희,류성현,권혁범,정의욱,유수빈,조대희,차우진,조한준,승의열,류제승,임성재,김원목,곽수정,이문석,정병두,서문호,강태수,박원준,이육헌,김시원,최현종,선율우,오재세"
8,미스터 주: 사라진 VIP,2020-01-22,"4,675,193,020",3.3%,"4,681,685,020","555,022","555,962",692,"22,398",한국,한국,리양필름(주),"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스",12세이상관람가,"코미디,드라마",김태윤,"이성민,김서형,배정남,신하균,갈소원,유인나,김수미,이선균,이정은,이순재,김보성,조한준,박준형,정다정,데이비드 맥기니스"
9,나쁜 녀석들: 포에버,2020-01-15,"4,785,334,880",3.3%,"4,785,514,880","535,007","535,037",896,"28,775",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,액션,"아딜 엘 아르비,빌랄 팔라","윌 스미스,마틴 로렌스,바네사 허진스"
10,스타워즈: 라이즈 오브 스카이워커,2020-01-08,"4,689,609,590",3.3%,"4,697,721,590","505,568","506,192",957,"28,535",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,판타지,SF",J.J. 에이브럼스,"데이지 리들리,아담 드라이버,오스카 아이삭,존 보예가"
11,스파이 지니어스,2020-01-22,"3,172,729,260",2.2%,"3,172,729,260","386,816","386,816",712,"15,889",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"애니메이션,액션,코미디,가족,SF","닉 브루노,트로이 콴","윌 스미스,톰 홀랜드"
12,겨울왕국 2,2019-11-21,"3,150,619,070",2.2%,"114,746,867,790","370,607","13,739,671",665,"15,779",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"크리스 벅,제니퍼 리","크리스틴 벨,이디나 멘젤,조시 게드,조나단 그로프"
13,신비아파트 극장판 하늘도깨비 대 요르문간드,2019-12-19,"1,736,631,140",1.2%,"7,036,573,580","219,836","891,958",539,"8,477",한국,한국,씨제이이앤엠(주),씨제이이앤엠(주),전체관람가,애니메이션,변영규,"김영은,김채하,신용우,조현정,양정화,김현지"
14,포드 V 페라리,2019-12-04,"1,285,057,780",0.9%,"11,897,071,460","141,128","1,349,535",204,"5,145",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,드라마",제임스 맨골드,"맷 데이먼,크리스찬 베일"
15,나이브스 아웃,2019-12-04,"1,045,821,700",0.7%,"6,694,681,910","119,363","786,774",163,"4,427",미국,미국,,(주)올스타엔터테인먼트,12세이상관람가,"미스터리,스릴러",라이언 존슨,"다니엘 크레이그,크리스 에반스,아나 디 아르마스,제이미 리 커티스,마이클 섀넌,돈 존슨,크리스토퍼 플러머"
16,21 브릿지: 테러 셧다운,2020-01-01,"774,383,700",0.5%,"776,044,700","99,792","99,943",228,"6,479",미국,미국,,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",15세이상관람가,"스릴러,드라마,범죄",브라이언 커크,"채드윅 보스만,J.K. 시몬스,시에나 밀러,테일러 키취"
17,타오르는 여인의 초상,2020-01-16,"825,806,028",0.6%,"832,126,028","99,440","100,209",146,"3,412",프랑스,프랑스,,"그린나래미디어(주),(주)홈초이스",15세이상관람가,드라마,셀린 시아마,"아델 에넬,노에미 멜랑"
18,프린스 코기,2019-12-24,"495,860,680",0.3%,"1,524,793,980","70,750","203,708",242,"2,160",벨기에,벨기에,,(주)이수C&E,전체관람가,애니메이션,벤 스타센,"심규혁,김리흔,엄상현,김혜성,김현지,김옥경,시영준,황창영,홍진욱,최정현"
19,눈의 여왕4,2019-12-24,"425,729,620",0.3%,"1,470,304,580","65,267","209,120",271,"2,229",러시아,러시아,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"애니메이션,가족,판타지,어드벤처","로버트 렌스,알렉세이 트시칠린","양정화,박지윤,임채헌,박영재,민승우,민아,임은정,윤용식,김현심,조현정,엄상현,홍진욱,남도형,송하림"
20,파바로티,2020-01-01,"334,003,278",0.2%,"365,099,278","41,580","45,811",85,"1,801",영국,영국,,오드,12세이상관람가,다큐멘터리,론 하워드,루치아노 파바로티
21,피아니스트의 전설,2020-01-01,"312,761,322",0.2%,"332,985,322","37,354","39,731",69,"1,721",이탈리아,이탈리아,,(주)라이크 콘텐츠,15세관람가,"드라마,판타지,뮤지컬",쥬세페 토르나토레,"팀 로스,프루잇 테일러 빈스,멜라니 티에리"
22,인셉션,2010-07-21,"249,059,200",0.2%,"43,730,530,200","33,334","5,868,351",216,"1,856",미국,미국,"워너 브러더스 픽쳐스,레젼데리 픽쳐스","(주)디스테이션,워너브러더스 코리아(주)",12세이상관람가,"드라마,미스터리",크리스토퍼 놀란,"레오나르도 디카프리오,엘렌 페이지,마리온 꼬띨라르"
23,타발루가와 얼음공주,2020-01-08,"190,654,000",0.1%,"190,654,000","27,330","27,330",304,"2,286",독일,독일,,예지림엔터테인먼트,전체관람가,"애니메이션,어드벤처,코미디",스벤 운터발트 주니어,"김혜성,강은애,임채헌,서반석,박성영,이창민"
24,캣츠,2019-12-24,"225,823,360",0.2%,"6,318,991,050","27,236","755,564",280,"2,317",미국,"미국,영국",,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"뮤지컬,드라마",톰 후퍼,"제니퍼 허드슨,테일러 스위프트,이드리스 엘바,프란체스카 헤이워드,주디 덴치,이안 맥켈런,제이슨 데룰로,제임스 코든,레이 윈스톤,레벨 윌슨"
25,오즈의 마법사: 요술구두와 말하는 책,2020-01-22,"184,215,100",0.1%,"184,215,100","23,127","23,127",252,"1,866",러시아,러시아,,(주)박수엔터테인먼트,전체관람가,"애니메이션,코미디,가족",,
26,"고흐, 영원의 문에서",2019-12-26,"178,492,550",0.1%,"309,483,510","21,269","37,960",52,"1,099",미국,"미국,프랑스",,(주)팝엔터테인먼트,12세이상관람가,드라마,줄리언 슈나벨,"윌렘 데포,오스카 아이삭,매즈 미켈슨,루퍼트 프렌드,윌렘 데포"
27,울지마 톤즈 2 : 슈크란 바바,2020-01-09,"139,327,440",0.1%,"147,967,440","18,804","19,764",232,"2,190",한국,한국,"KBS 미디어,(주)드림팩트엔터테인먼트,원피스",(주)영화특별시에스엠씨,전체관람가,다큐멘터리,강성옥,이금희
28,하이큐!! 땅 VS 하늘,2020-01-23,"130,758,120",0.1%,"130,758,120","16,268","16,268",82,915,일본,일본,,(주)삼백상회,전체관람가,애니메이션,미츠나카 스스무,나카무라 유이치
29,슈퍼 베어,2020-01-15,"105,937,260",0.1%,"105,937,260","15,145","15,145",227,"1,386",미국,미국,,와이드 릴리즈(주),전체관람가,"액션,어드벤처,애니메이션",,"김기두,서반석,박성영"
30,두 교황,2019-12-11,"106,817,120",0.1%,"230,816,160","13,433","29,860",15,430,미국,"미국,영국,이탈리아,아르헨티나",,판씨네마(주),12세이상관람가,드라마,페르난도 메이렐레스,"안소니 홉킨스,조나단 프라이스"
31,기생충,2019-05-30,"97,372,680",0.1%,"85,981,336,325","12,512","10,097,787",51,503,한국,한국,(주)바른손이앤에이,씨제이이앤엠(주),15세이상관람가,드라마,봉준호,"송강호,이선균,조여정,최우식,박소담,이정은,장혜진,박명훈,현승민,정현준,윤혜리,박근록,이시훈,김규백,설민,박가빈,정이서,조재명,정익한,안진상,이루아,김하언,하윤희,이도운,오별하,유인,유채련,정일화,지혜영,지연,최정연,서복현,심수미,장지우,한미자,주수지,강현규,고관재,박서준,곽신애,류영훈,문상근,김건,박재완,서한결,서희영,손지영,박혜숙,백동현,신승민,백승환,안성봉,염재민,오상준,오상준,김성수,김성준,김세인,윤영우,정재훈,김이슬,이종현,이주형,제승현,김혜련,김정우,이지혜,황인경,최지원,이덕형,이시은,김영조,이도용,김보령,김용각,정세현,이옥희,김향배,이상경,정아름,이은희,이인경,박미애,김진형,이시후,박재욱,양선영,장예원,최정현"
32,사마에게,2020-01-23,"87,055,552",0.1%,"87,656,552","10,940","11,012",75,771,영국,영국,,(주)엣나인필름,15세이상관람가,다큐멘터리,"와드 알-카팁,에드워드 와츠","와드 알-카팁,사마 알-카팁,함자 알-카팁"
33,"미안해요, 리키",2019-12-19,"80,666,300",0.1%,"281,505,500","9,968","35,615",56,693,프랑스,프랑스,,(주)영화사 진진,12세이상관람가,드라마,켄 로치,"크리스 히친,데비 허니우드"
34,정직한 후보,2020-02-12,"69,402,000",0.0%,"69,402,000","9,912","9,912",19,46,한국,한국,"(주)수필름,(주)홍필름",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,코미디,장유정,"라미란,김무열,나문희,윤경호,장동주,송영창,온주완,조한철,손종학,조수향,윤세아,김용림,박성준,임영우"
35,스파이즈,2020-01-15,"75,767,560",0.1%,"75,767,560","9,900","9,900",224,"1,318",프랑스,프랑스,,(주)팝엔터테인먼트,전체관람가,애니메이션,기욤 이베르넬,
36,레플리카,2019-09-25,"63,683,000",0.0%,"388,567,230","8,102","49,087",13,87,미국,미국,,(주)제이앤씨미디어그룹,15세이상관람가,"범죄,미스터리,SF,스릴러",제프리 나흐마노프,"키아누 리브스,앨리스 이브,토머스 미들디치"
37,갱,2020-01-16,"13,785,640",0.0%,"21,608,640","8,009","8,880",53,378,한국,한국,"(주)스토리풀,(주)컨텐츠 빌리지,(주)모그픽쳐스",(주)삼백상회,15세이상관람가,액션,조바른,"차지혁,옥윤중,백재민,김대한,이정현,김라희,조선기,지남혁,이재한"
38,나이트 헌터,2020-01-29,"42,051,300",0.0%,"42,051,300","6,812","6,812",141,763,캐나다,캐나다,,와이드 릴리즈(주),15세이상관람가,"액션,범죄,스릴러,드라마",,"헨리 카빌,알렉산드리아 다다리오,벤 킹슬리,스탠리 투치"
39,핑크퐁 시네마 콘서트 : 우주대탐험,2020-01-30,"47,057,500",0.0%,"47,057,500","6,504","6,504",176,642,한국,한국,스마트스터디(주),스마트스터디(주),전체관람가,애니메이션,변희선,"조경이,김서영"
40,몽마르트 파파,2020-01-09,"46,613,800",0.0%,"49,244,800","6,277","6,673",42,553,한국,한국,"웃음을 주는 영화,(주)해밀픽쳐스",(주)트리플픽쳐스,전체관람가,다큐멘터리,민병우,"민형식,이운숙,민병우"
41,클로젯,2020-02-05,"51,170,000",0.0%,"51,170,000","5,865","5,865",10,27,한국,한국,"(주)영화사 월광,(주)퍼펙트스톰필름",씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",김광빈,"하정우,김남길,허율,이도국,이양희,김시아,신현빈,김수진,박지아,임현성,강신철,박성웅"
42,아내를 죽였다,2019-12-11,"29,437,000",0.0%,"794,209,560","5,795","97,719",16,41,한국,한국,단테미디어랩,케이티하이텔(주),15세이상관람가,"스릴러,액션",김하라,"이시언,안내상,왕지혜,서지영,김기두,이성우,김홍표,안재민,김경민,박소윤"
43,차일드 인 타임,2020-01-09,"48,508,420",0.0%,"50,930,420","5,719","6,081",75,669,영국,영국,,(주)팝엔터테인먼트,15세이상관람가,드라마,줄리언 파리노,"베네딕트 컴버배치,켈리 맥도날드,스티븐 캠벨 무어,사스키아 리브스"
44,목격자-눈이 없는 아이,2020-01-29,"16,305,540",0.0%,"16,305,540","5,622","5,622",43,170,중국,중국,,(주)드림팩트엔터테인먼트,15세이상관람가,공포(호러),심용,"홍수아,이아남,링옌"
45,신의 은총으로,2020-01-16,"41,170,820",0.0%,"43,023,820","5,349","5,615",41,433,프랑스,프랑스,,찬란,15세이상관람가,드라마,프랑수아 오종,"멜빌 푸포,드니 메노셰,스완 아르라우드"
46,에릭 클랩튼: 기타의 신,2020-01-23,"37,751,422",0.0%,"38,917,422","4,778","4,938",28,247,영국,영국,,(주)영화사 진진,15세이상관람가,다큐멘터리,릴리 피니 자눅,"에릭 클랩튼,조지 해리슨,지미 헨드릭스,B.B. 킹"
47,걸즈 앤 판처 최종장 제1화,2020-01-08,"38,676,620",0.0%,"38,676,620","4,380","4,380",55,580,일본,일본,,(주)디스테이션,12세이상관람가,애니메이션,미즈시마 츠토무,"후치가미 마이,카야노 아이,오자키 마미,나카가미 이쿠미,이구치 유카"
48,윤희에게,2019-11-14,"31,674,108",0.0%,"963,547,609","3,870","120,889",11,223,한국,한국,영화사 달리기,(주)리틀빅픽쳐스,12세이상관람가,멜로/로맨스,임대형,"김희애,김소혜,성유빈,나카무라 유코,유재명,김학선,윤태희"
49,조커,2019-10-02,"28,864,080",0.0%,"45,409,939,530","3,849","5,251,723",67,325,미국,미국,,워너브러더스 코리아(주),15세이상관람가,"액션,드라마,스릴러",토드 필립스,"호아킨 피닉스,재지 비츠,로버트 드 니로,프란시스 콘로이,브렛 컬렌"
50,와일드라이프,2019-12-25,"30,228,360",0.0%,"98,869,120","3,715","12,391",36,374,미국,미국,,"그린나래미디어(주),씨네그루(주)키다리이엔티",15세이상관람가,드라마,폴 다노,"캐리 멀리건,제이크 질렌할,에드 옥슨볼드"
51,러브레터,1999-11-20,"33,498,520",0.0%,"861,347,734","3,632","111,022",17,218,일본,일본,후지텔레비젼네트웍,"와이드 릴리즈(주),(주)제이앤씨미디어그룹,(유)조이앤시네마,(주)팝엔터테인먼트",전체관람가,"멜로/로맨스,드라마",이와이 슌지,"나까야마 미호,토요카와 에츠시,사카이 미키"
52,알라딘,2019-05-23,"27,784,000",0.0%,"106,982,922,359","3,473","12,555,756",6,46,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"어드벤처,가족,판타지",가이 리치,"메나 마수드,윌 스미스,나오미 스콧"
53,작은 아씨들,2020-02-12,"25,709,000",0.0%,"25,709,000","3,127","3,127",6,30,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,"드라마,멜로/로맨스",그레타 거윅,"시얼샤 로넌,엠마 왓슨,플로렌스 퓨,엘리자 스캔런,로라 던,티모시 샬라메,메릴 스트립"
54,페인 앤 글로리,2020-02-05,"26,893,800",0.0%,"26,893,800","3,034","3,034",20,52,스페인,스페인,,(주)제이앤씨미디어그룹,청소년관람불가,드라마,페드로 알모도바르,"페넬로페 크루즈,안토니오 반데라스"
55,"베를린, 아이 러브 유",2019-12-04,"4,304,000",0.0%,"5,693,900","2,980","3,146",1,10,독일,독일,,(주)영화사 안다미로,15세이상관람가,멜로/로맨스,"피터 첼섬,틸 슈바이거,다이아나 애그론,데니스 간젤,마시 태지딘,대니 레비","키이라 나이틀리,헬렌 미렌,짐 스터게스,미키 루크,패트릭 뎀시,디에고 루나,짐 스터게스"
56,겨울왕국,2014-01-16,"25,406,500",0.0%,"82,509,480,900","2,966","10,301,709",6,107,미국,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지","크리스 벅,제니퍼 리","이디나 멘젤,크리스틴 벨,조나단 그로프,조시 게드"
57,파비안느에 관한 진실,2019-12-05,"20,511,260",0.0%,"301,510,700","2,798","45,268",20,169,프랑스,프랑스,,(주)티캐스트,12세이상관람가,드라마,고레에다 히로카즈,"까뜨린느 드뇌브,줄리엣 비노쉬,에단 호크"
58,결혼 이야기,2019-11-27,"21,749,200",0.0%,"185,071,760","2,366","22,480",7,117,영국,영국,,판씨네마(주),15세이상관람가,"멜로/로맨스,드라마,코미디",노아 바움백,"스칼렛 요한슨,아담 드라이버,로라 던"
59,쥬만지: 넥스트 레벨,2019-12-11,"18,350,960",0.0%,"8,793,014,370","2,303","1,057,266",13,119,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,액션,제이크 캐스단,"드웨인 존슨,잭 블랙,케빈 하트,카렌 길런,아콰피나"
60,조조 래빗,2020-02-05,"16,823,000",0.0%,"16,823,000","2,162","2,162",6,28,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"코미디,드라마,전쟁",타이카 와이티티,"스칼렛 요한슨,로만 그리핀 데이비스,타이카 와이티티,토마신 맥켄지,샘 록웰,레벨 윌슨,스테판 머천트,알피 알렌"
61,벌룬,2020-01-16,"16,365,500",0.0%,"16,366,500","1,941","1,942",24,271,독일,독일,,주식회사 세미콜론스튜디오,12세이상관람가,"드라마,스릴러",미카엘 헤르비그,"프리드리히 뮈케,카롤리네 슈허,데이빗 크로스,토마스 크레취만"
62,프란치스코 교황 : 맨 오브 히스 워드,2019-11-21,"13,642,000",0.0%,"286,673,260","1,940","39,222",5,84,이탈리아,"이탈리아,스위스,독일,프랑스",,"㈜영화사 백두대간,영화사 풀",전체관람가,다큐멘터리,빔 벤더스,프란치스코
63,원스 어폰 어 타임... 인 할리우드,2019-09-25,"13,802,000",0.0%,"2,283,609,670","1,870","279,189",18,76,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,"드라마,코미디",쿠엔틴 타란티노,"레오나르도 디카프리오,브래드 피트,마고 로비,에밀 허쉬,마가렛 퀄리,티모시 올리펀트,줄리아 버터스,오스틴 버틀러,다코타 패닝,브루스 던,마이크 모,루크 페리,데미안 루이스,알 파치노,커트 러셀,조 벨"
64,아이리시맨,2019-11-20,"14,356,440",0.0%,"307,823,340","1,770","36,493",6,76,미국,미국,,판씨네마(주),청소년관람불가,"범죄,드라마,스릴러",마틴 스코세이지,"로버트 드 니로,알 파치노,조 페시,하비 케이틀"
65,쥬라기 프레데터,2019-12-16,"3,564,000",0.0%,"3,565,000","1,710","1,711",1,10,영국,영국,,(주)영화사 안다미로,15세이상관람가,액션,앤드류 존스,
66,쥬라기 펫의 모험,2019-12-24,"3,379,000",0.0%,"3,380,000","1,601","1,602",1,11,미국,미국,,(주)영화사 안다미로,12세이상관람가,"판타지,어드벤처",라이언 벨가드,
67,지옥의 영웅들,,"3,172,000",0.0%,"5,694,000","1,581","2,778",1,20,미국,미국,,,,"액션,전쟁",돈 시겔,"스티브 맥퀸,바비 다린"
68,날씨의 아이,2019-10-30,"13,023,240",0.0%,"5,426,311,650","1,561","657,437",2,45,일본,일본,,"(주)미디어캐슬,워터홀컴퍼니(주)",15세이상관람가,"애니메이션,판타지,멜로/로맨스",신카이 마코토,"다이고 코타로,모리 나나,오구리 슌"
69,밤길,,"3,093,000",0.0%,"3,239,000","1,539","1,598",1,20,미국,미국,유니버셜 픽쳐스,,,"서부극(웨스턴),어드벤처",제임스 닐슨,"제임스 스튜어트,오디 머피,댄 두리아,다이앤 포스터"
70,컨트롤 그룹,2019-12-09,"2,664,000",0.0%,"2,665,000","1,530","1,531",1,9,미국,미국,,(주)영화사 안다미로,청소년관람불가,공포(호러),,
71,존과 맥의 요상한 우주여행,2019-12-24,"2,944,000",0.0%,"2,945,000","1,514","1,515",1,11,미국,미국,,(주)영화사 안다미로,12세이상관람가,"SF,드라마",,
72,디어스킨,2020-01-01,"13,055,280",0.0%,"14,540,280","1,484","1,673",15,181,프랑스,프랑스,,M&M 인터내셔널,청소년관람불가,스릴러,,"장 뒤자르댕,아델 에넬"
73,루프홀,2019-12-16,"2,659,000",0.0%,"2,660,000","1,465","1,466",1,10,미국,미국,,(주)영화사 안다미로,15세이상관람가,"SF,드라마",,
74,작은 빛,2020-01-23,"11,907,960",0.0%,"13,554,960","1,454","1,693",21,147,한국,한국,영화사 낭,(주)시네마달,12세이상관람가,"드라마,가족",조민재,"곽진무,변중희,신문성,김현"
75,누구를 위한 반역인가,,"2,916,000",0.0%,"2,916,000","1,453","1,453",1,16,미국,미국,,,,"드라마,스릴러,전쟁",조지 시튼,"윌리엄 홀든,릴리 팔머"
76,델리리움,2019-12-09,"2,214,000",0.0%,"2,215,000","1,440","1,441",1,9,미국,미국,,(주)영화사 안다미로,15세이상관람가,공포(호러),조니 마틴,라이언 핑크스톤
77,브라 이야기,2020-01-16,"10,724,440",0.0%,"10,724,440","1,343","1,343",12,144,독일,독일,,알토미디어(주),12세이상관람가,"드라마,코미디",바이트 헬머,"파즈 베가,드니 라방,마이아 모겐스턴,슐판 하마토바,미키 마뇰로비치"
