,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
307,더러운 아내,2020-01-17,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",최정자,
308,사촌동생들,2020-01-29,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"드라마,멜로/로맨스",한동연,
309,위로해준 시동생,2020-01-22,"300,000",0.0%,"300,000",60,60,1,1,일본,일본,,(주)라온컴퍼니플러스,청소년관람불가,"드라마,멜로/로맨스",나기라 겐조,
310,자매의 정사,2020-01-29,"300,000",0.0%,"300,000",60,60,1,1,한국,한국,그리드 필름,(주)나우콘텐츠,청소년관람불가,"멜로/로맨스,드라마",김진호,이은미
311,택배기사의 참교육,2020-01-29,"300,000",0.0%,"300,000",60,60,1,1,일본,일본,,(주)라온컴퍼니플러스,청소년관람불가,"드라마,멜로/로맨스",,
312,팔려버린 아내,2020-01-13,"300,000",0.0%,"300,000",60,60,1,1,일본,일본,,(주)라온컴퍼니플러스,청소년관람불가,"드라마,멜로/로맨스",사다오카 사다오,
313,네버엔딩 펠리니,,"416,000",0.0%,"416,000",58,58,1,2,이탈리아,이탈리아,,,,다큐멘터리,,
314,반고호,1992-10-03,"292,000",0.0%,"4,532,000",58,785,1,2,프랑스,프랑스,고몽,,고등학생이상관람가,드라마,모리스 피알라,"알렉산드라 런던,자크 뒤트롱"
315,라라미에서 온 사나이,,"114,000",0.0%,"5,716,000",57,"3,003",1,6,미국,미국,콜럼비아 픽쳐스 코포레이션,,,"액션,서부극(웨스턴),미스터리",안소니 만,"제임스 스튜어트,아서 케네디,도날드 크리스프,캐시 오도넬,알렉스 니콜,알린 맥마흔,월러스 포드,잭 엘램"
316,맥추,,"403,000",0.0%,"4,948,000",57,803,1,2,일본,일본,,,15세이상관람가,,오즈 야스지로,하라 세츠코
317,코끼리는 그곳에 있어,2019-11-21,"475,000",0.0%,"20,636,400",57,"1,618",2,6,중국,중국,,아이 엠,12세이상관람가,드라마,후 보,"펑유창,왕위원,장위,리총시"
318,오렌지필름 기획전 - 미움(ㅁ)을 굴려보았더니,,"476,000",0.0%,"476,000",55,55,2,5,한국,한국,,,,드라마,,
319,플레이어,1993-02-06,"250,000",0.0%,"1,184,000",55,223,1,3,미국,미국,"에비뉴 픽처 프로덕션,아디스-웨체슬러 프로덕션",,고등학생이상관람가,스릴러,로버트 알트만,팀 로빈스
320,비브르 사 비,1997-05-03,"536,000",0.0%,"24,116,000",54,"3,164",1,1,프랑스,프랑스,,"알토미디어(주),㈜영화사 백두대간","연소자관람불가,15세이상관람가",드라마,장 뤽 고다르,"안나 카리나,사디 레보트,안드레 S. 라바르트,폴 파벨"
321,여사장,,"108,000",0.0%,"4,513,000",54,"2,264",1,2,한국,한국,,,,"코미디,멜로/로맨스",한형모,"조미령,이수련"
322,감쪽같은 그녀,2019-12-04,"384,000",0.0%,"3,595,246,790",52,"469,348",1,3,한국,한국,(주)지오필름,메가박스중앙(주)플러스엠,전체관람가,드라마,허인무,"나문희,김수안,천우희,정유진,최수영"
323,북간도의 십자가,2019-10-17,"385,000",0.0%,"72,963,160",52,"9,911",1,4,한국,한국,(재)CBS,"(재)CBS,주식회사 마운틴픽쳐스",전체관람가,다큐멘터리,반태경,"문동환,심용환,문성근"
324,선셋 대로,,"240,000",0.0%,"7,281,000",52,"2,925",1,2,미국,미국,파라마운트 픽쳐스,,,드라마,빌리 와일더,
325,에드 우드,,"260,000",0.0%,"598,000",52,120,1,2,,,,,,,,
326,사이더 하우스,2000-06-03,"234,000",0.0%,"234,000",51,51,1,3,미국,미국,미라맥스 필름즈,,15세관람가,드라마,라세 할스트롬,"토비 맥과이어,샤를리즈 테론"
327,굿바이 마이 라이프,,"240,000",0.0%,"2,416,000",50,"1,134",1,2,미국,미국,,,,드라마,빅터 플레밍,"스펜서 트레이시,라이오넬 배리모어"
328,북을 울려라,,"100,000",0.0%,"3,803,000",50,"1,900",1,5,미국,미국,,,12세관람가,"액션,서부극(웨스턴)",라울 월쉬,"게리 쿠퍼,마리 앨든"
329,일 포스티노,1996-03-09,"500,000",0.0%,"112,646,100",50,"14,984",1,1,이탈리아,"이탈리아,프랑스",체키고리그룹 타이거키네마토그라피카,(주)영화사 진진,"고등학생이상관람가,15세이상관람가","드라마,코미디,멜로/로맨스",마이클 래드포드,"필립 느와레,마시모 트로이시"
330,오케스트라의 소녀,,"98,000",0.0%,"8,883,000",49,"4,424",1,4,미국,미국,,,,코미디,헨리 코스터,"디나 더빈,아돌프 멘주"
331,더 킹,2017-01-18,"480,000",0.0%,"43,492,782,535",48,"5,318,007",1,1,한국,한국,(주)우주필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",한재림,"조인성,정우성,배성우,김아중,류준열,김의성,김민재,정성모,정은채,김소진,황승언,이주연,정준용,박시영,임승묵,박정민,박지홍,박진영,장승연,손영진,안용우,유현종,이나경,이석호,한미진,이승민,이윤희,김원진,김규선,남명렬,이가경,차지원,차엽,오대환,이세랑,정원중,곽순우,금새록,김해나,정인기,박성근,윤부진,조대희,임용순,이열음,염석무,박기만"
332,사랑의 슬픔 애수,2000-04-22,"144,000",0.0%,"1,730,000",48,496,1,1,미국,미국,콜럼비아 트라이스타,콜럼비아 트라이스타,18세관람가,"멜로/로맨스,전쟁",닐 조단,"랄프 파인즈,줄리안 무어"
333,영 앤 뷰티풀,2013-12-05,"393,000",0.0%,"50,821,600",48,"6,692",1,2,프랑스,프랑스,,찬란,청소년관람불가,드라마,프랑수아 오종,"마린 백트,제랄딘 페라스,샬롯 램플링"
334,리오 그란데,,"94,000",0.0%,"12,752,000",47,"4,721",1,3,미국,미국,,,15세관람가,"멜로/로맨스,서부극(웨스턴)",존 포드,"존 웨인,모린 오하라"
335,증인,2019-02-13,"360,000",0.0%,"20,483,149,331",45,"2,534,793",5,10,한국,한국,"(주)무비락,(주)도서관옆스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,드라마,이한,"정우성,김향기,이규형,염혜란,장영남,정원중,김종수,박근형,송윤아,이준혁,이레,김승욱,오재세,이채은,이서준,이서환,강민지,강지현,박세정,권혁준,김경훈,박재환,박주은,박준호,박찬영,송우용,김미진,안성봉,신치영,신혜정,김범석,오창경,김소연,김수경,이준형,장효석,김정연,김호연,조성재,김홍식,최은영,최종률,이슬이,정도원,정명훈,조한나,이승헌,강은수,고민지,곽나현,권정은,김규인,김난영,표예리,김바비,이동훈,김학선,이영아,김승윤,이민정,조복휘,김인규,김준원,정승욱,도현,김형묵,정영록,남혜진,김태현,정우성,문승배,정경현,이은샘,채치웅,윤정환,박미정,이종익,최문익,심은정,이석환,박윤근,박은우,엄주원,박창화,엄혜란,배내희,손제형,추귀정,염지영,장부익,장선아,서광재,한윤지,한재경"
336,집 이야기,2019-11-28,"304,500",0.0%,"67,454,580",45,"9,946",2,13,한국,한국,(주)영화사지음,CGV아트하우스,12세이상관람가,드라마,박제범,"이유영,강신일,조현식"
337,예전의 마피아가 아니다,,"306,000",0.0%,"306,000",44,44,1,2,이탈리아,이탈리아,,,,기타,프랑코 마레스코,
338,순정,2016-02-24,"430,000",0.0%,"1,739,966,633",43,"240,704",1,1,한국,한국,(주)주피터필름,(주)리틀빅픽쳐스,12세이상관람가,드라마,이은희,"도경수,김소현,연준석,이다윗,주다영,박용우,박해준,김지호,이범수,이대연,황석정,박정민,김권,오유진,박충선,조우람,최민석,임철수,황영희,임성재,김현"
339,주전장,2019-07-25,"252,000",0.0%,"309,752,090",42,"40,022",1,4,미국,미국,,(주)시네마달,전체관람가,다큐멘터리,미키 데자키,
340,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,"210,000",0.0%,"1,080,272,750",42,"128,786",1,1,일본,일본,,"동우에이앤이(주),(주)박수엔터테인먼트",15세이상관람가,애니메이션,히시다 마사카즈,"남도형,엄상현,이원찬,정주원,이정민,한신,황창영,김현욱,탁원정,이경태,심승한,사성웅,이규창"
341,한밤의 암살자,,"202,000",0.0%,"2,966,000",42,500,1,1,프랑스,"프랑스,이탈리아",,,,"스릴러,범죄,드라마",장 피에르 멜빌,"알랑 드롱,프랑스와 페리어"
342,현금에 손대지 마라,,"206,000",0.0%,"1,106,000",42,244,1,3,프랑스,"프랑스,이탈리아",,,15세이상관람가,"드라마,액션,범죄",자크 베케르,"장 가뱅,르네 다리,도라 돌"
343,까마귀 기르기,,"192,000",0.0%,"576,000",41,113,1,2,스페인,스페인,,,,드라마,카를로스 사우라,"제랄딘 채플린,모니카 랜달"
344,"꼭두각시여, 안녕",,"192,000",0.0%,"192,000",41,41,1,3,프랑스,프랑스,,,,"범죄,드라마",끌로드 베리,
345,킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉,2019-05-02,"205,000",0.0%,"91,890,730",41,"10,930",1,1,일본,일본,,동우에이앤이(주),12세이상관람가,애니메이션,히시다 마사카즈,
346,거짓의 풀치,,"276,000",0.0%,"276,000",40,40,1,2,영국,"영국,이탈리아",,,,기타,,
347,극한직업,2019-01-23,"200,000",0.0%,"139,652,045,516",40,"16,265,658",1,1,한국,한국,"(주)어바웃필름,영화사 해그림 주식회사,씨제이이앤엠(주)",씨제이이앤엠(주),15세이상관람가,코미디,이병헌,"류승룡,이하늬,진선규,이동휘,공명,양현민,장진희,한준우,김명준,나철,정재광,정원창,김강현,김지영,오정세,이중옥,홍완표,고봉구,권지훈,권태호,김가빈,박재홍,서호철,김남우,박진아,송영규,안성봉,신하균,심철민,김병호,유제윤,김성우,이정수,김의성,김종수,고경진,고관형,이광기,지찬,구성환,진선규,이도용,천준호,정성훈,이하늬,이한종,임세운,한동희,임정묵,이범찬,이운산,김천,조주한,조현숙,이유진,정우영,신신애,윤설,정윤회,박도영,정재광,최광원,이두일,김윤배,최신득,이왕수,이육현,박정표,정인기,배정선,장지웅,임유란,엄지혜,오민준,태원석,장격수,편광진,하철,변봉식,홍승진,홍은진,허준석"
348,사형집행인과 가면과 비밀: 60년대 이탈리아 호러 영화,,"279,000",0.0%,"279,000",40,40,1,2,이탈리아,이탈리아,,,,다큐멘터리,,
349,엑시트,2019-07-31,"200,000",0.0%,"79,232,212,162",40,"9,426,051",1,1,한국,한국,"(주)외유내강,(주)필름케이",씨제이이앤엠(주),12세이상관람가,"코미디,액션",이상근,"조정석,윤아,고두심,박인환,김지영,강기영,오희준,배유람,유수빈,조성희,주보비,김강현,정민성,박성일,신세휘,김경룡,김강훈,강덕중,강충훈,박상혁,곽민규,민대웅,권혁주,박윤희,박윤희,박정환,박주홍,설도희,배해선,백현익,신철진,양지혜,김병순,오누리,김보성,김상보,윤대열,오유진,김서율,김선호,김수연,강경수,김현수,김현수,이정인,정재은,임희수,최서현,정지우,최성윤,김형기,이선우,이성수,이성훈,조성동,김호정,조예린,김종구,황슬기,조윤호,전혜원,이찬유,조은성,최재영,최재영,이수정,김주아,강기영,김준수,이경오,주보비,주보비,최진영,고두심,곽새빛,곽호중,권상혁,최현아,권은빈,최혜인,기상원,채서원,김한솔,이동휘,이동희,이랑서,김태한,임종현,이창진,김이석,한우리,이화정,이봉련,김환영,김태환,주예서,김태율,정우영,정새다솜,정윤지,채승혜,슈기(최슬기),천대만,윤해빈,이채원,이재국,이학광,최영도,이현하,박재랑,이용탁,박채익,반혜라,탁트인,손현준,장서우,송원수,변건우,한서율,한승효,황지현,황효은,한윤식,허철,허형규,홍나현"
350,패터슨,2017-12-21,"360,000",0.0%,"563,013,208",40,"68,008",1,1,프랑스,"프랑스,독일,미국",,그린나래미디어(주),12세이상관람가,드라마,짐 자무쉬,"아담 드라이버,골시프테 파라하니"
351,가을 햇살,,"263,000",0.0%,"4,926,000",39,769,1,1,일본,일본,,,,드라마,오즈 야스지로,"하라 세츠코,쿠와노 미유키"
352,벌집의 아이들,,"190,000",0.0%,"398,000",39,83,1,2,일본,일본,,,,기타,,
353,쇼 피플,,"194,000",0.0%,"1,808,000",39,296,1,2,미국,미국,,,,"코미디,멜로/로맨스",킹 비더,
354,커다란 위험,,"178,000",0.0%,"470,000",39,100,1,2,프랑스,"프랑스,이탈리아",,,,드라마,끌로드 쏘레,"리노 벤추라,장 폴 벨몽도"
355,킹 오브 프리즘 -샤이니 세븐 스타즈-,2019-03-07,"195,000",0.0%,"141,714,690",39,"16,462",1,1,일본,일본,,동우에이앤이(주),12세이상관람가,애니메이션,히시다 마사카즈,
356,비밀,2002-10-11,"114,000",0.0%,"4,464,000",38,742,1,1,일본,일본,,이십세기폭스코리아(주),15세관람가,드라마,타키타 요지로,"코바야시 카오루,히로스에 료코"
357,킹 오브 프리즘,2016-08-11,"190,000",0.0%,"1,005,261,150",38,"121,091",1,1,일본,일본,,(주)박수엔터테인먼트,12세이상관람가,"애니메이션,드라마,판타지",히시다 마사카즈,
358,우리를 갈라놓는 것들,2019-11-28,"228,000",0.0%,"15,443,580",37,"1,835",2,12,한국,한국,반달,(주)엣나인필름,12세이상관람가,다큐멘터리,임흥순,
359,김군,2019-05-23,"284,000",0.0%,"124,353,490",35,"16,833",1,1,한국,한국,"1011 필름,영화사 풀",영화사 풀,12세이상관람가,다큐멘터리,강상우,"김군,주옥,양동남,지만원,이창성,차종수,오기철,이강갑,최영철,최진수,안지환,서정열,안종철,이종명,곽희성,최영철,김양래,강보원,주대체,고광덕,구성주,김경림,김공휴,김규재,김영택,김태찬,김용균,김정기,김준봉,김준선,김진순,김춘군,나일성,마이남,문관,지대지,문병림,지유진,문장우,송희성,윤영규,박봉진,이재춘,이근례,박선재,정호용,이흥철,최진동,최창기,양홍범,염경태,송경상,서한성,오인수,오종렬,홍순진,홍흥준,박인수,허상희,이은정"
360,머나먼 서부,,"105,000",0.0%,"3,979,000",35,"1,991",1,1,미국,미국,,,,"서부극(웨스턴),멜로/로맨스",안소니 만,"제임스 스튜어트,루스 로만"
361,러브 스토리,1971-12-15,"102,000",0.0%,"1,604,000",34,350,1,1,미국,미국,파라마운트,,12세이상관람가,멜로/로맨스,아서 힐,"알리 맥그로우,라이언 오닐"
362,탈출,2019-12-19,"33,000",0.0%,"67,000",33,67,5,33,한국,한국,(주)케이알씨지,(주)케이알씨지,12세이상관람가,드라마,이숭환,
363,강길우 : 본(本),,"343,000",0.0%,"343,000",32,32,1,1,한국,한국,,,,기타,,
364,체실 비치에서,2018-09-20,"293,000",0.0%,"260,424,423",32,"30,421",1,2,영국,영국,,"그린나래미디어(주),(주)키위미디어그룹",15세이상관람가,"드라마,멜로/로맨스",도미닉 쿡,"시얼샤 로넌,빌리 하울,에밀리 왓슨,앤-마리 듀프"
365,피안화,,"225,000",0.0%,"4,124,332",32,661,1,3,일본,일본,,,15세이상관람가,"드라마,코미디",오즈 야스지로,"사다 케이지,아리마 이네코,사부리 신"
366,쏠레,,"212,000",0.0%,"212,000",31,31,1,1,이탈리아,"이탈리아,폴란드",,,,드라마,,
367,와호강호,,"31,000",0.0%,"31,000",31,31,5,31,중국,중국,,(유)조이앤시네마,15세이상관람가,액션,주청,
368,젊은이의 양지,1972-10-28,"62,000",0.0%,"21,565,000",31,"10,088",1,1,미국,미국,파라마운트 픽쳐스,,15세이상관람가,"드라마,액션,멜로/로맨스",조지 스티븐스,"엘리자베스 테일러,몽고메리 클리프트"
369,"가장 따뜻한 색, 블루",2014-01-16,"248,000",0.0%,"409,821,900",30,"53,302",1,2,프랑스,프랑스,,판씨네마(주),청소년관람불가,"드라마,멜로/로맨스",압델라티프 케시시,"레아 세이두,아델 에그자르코풀로스,살림 케치우셰"
370,의적 로빈후드,1991-07-20,"60,000",0.0%,"332,000",30,166,1,1,미국,미국,워너브러더스 코리아(주),,연소자관람불가,"액션,드라마,어드벤처",케빈 레이놀즈,"케빈 코스트너,모건 프리먼,크리스찬 슬레이터"
371,볼라레,,"197,000",0.0%,"197,000",29,29,1,1,이탈리아,이탈리아,,,,드라마,가브리엘 살바토레,
372,샐린저,2019-12-12,"207,000",0.0%,"10,586,180",29,"1,379",2,13,미국,미국,,판씨네마(주),15세이상관람가,다큐멘터리,쉐인 샐러노,"필립 세이모어 호프만,에드워드 노튼,존 쿠삭"
373,오르페브르의 부두,,"138,000",0.0%,"959,000",29,184,1,2,프랑스,프랑스,,,15세이상관람가,,앙리 조르주 클루조,
374,카와사키의 장미,,"203,000",0.0%,"203,000",29,29,1,1,체코,체코,,,,기타,,
375,파리의 연인,,"56,000",0.0%,"17,286,000",28,"8,582",1,4,미국,미국,파라마운트 픽쳐스,,15세관람가,"멜로/로맨스,코미디,뮤지컬",스탠리 도넌,"오드리 헵번,프레드 아스테어"
376,폴리스,,"128,000",0.0%,"128,000",28,28,1,2,프랑스,프랑스,,,,"범죄,드라마",모리스 피알라,"제라르 드빠르디유,소피 마르소,리차드 안코니나"
377,그것만이 내 세상,2018-01-17,"163,000",0.0%,"27,456,960,382",27,"3,420,199",1,1,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"코미디,드라마",최성현,"이병헌,윤여정,박정민,한지민,김성령,이주영,최리,이가경,이상준,박현주,이소정,이정호,이종승,이주영,이준석,안성봉,김현정,박상훈,박성훈,박소은,장혜리,정승환,박지연,박지훈,박지훈,조윤주,김동규,김민주,김유진,박지연,정윤하,오혜원,류제승,권귀빈,백현진,유정호,김서원,김병춘"
378,마사리크: VIP 환자,,"185,000",0.0%,"185,000",26,26,1,1,체코,"체코,슬로바키아,독일",,,,기타,,
379,킹 오브 프리즘 ?샤이니 세븐 스타즈- IV 루이x신x언노운,2019-05-30,"130,000",0.0%,"121,355,370",26,"14,528",1,1,일본,일본,,동우에이앤이(주),15세이상관람가,애니메이션,히시다 마사카즈,
380,1944 대전투,2020-01-21,"25,000",0.0%,"25,000",25,25,5,25,프랑스,프랑스,,(유)조이앤시네마,15세이상관람가,전쟁,데이빗 아부카야,
381,우아한 만찬,2020-01-16,"85,000",0.0%,"85,000",25,25,5,15,미국,미국,,주식회사 더쿱,15세이상관람가,"코미디,드라마",미구엘 아테타,"셀마 헤이엑,존 리스고"
382,룰루,,"110,000",0.0%,"1,180,000",23,167,1,1,프랑스,프랑스,,,,,모리스 피알라,"제라르 드빠르디유,이자벨 위페르"
383,우리의 사랑,,"102,000",0.0%,"102,000",23,23,1,1,프랑스,프랑스,,,,드라마,모리스 피알라,상드린 보네르
384,홍당무,,"106,000",0.0%,"727,000",23,132,1,2,프랑스,프랑스,,,,기타,줄리앙 뒤비비에르,
385,아이반호,,"66,000",0.0%,"210,000",22,94,1,1,,,,,,,,
386,칠드런 액트,2019-07-04,"196,000",0.0%,"204,459,320",22,"25,278",1,2,영국,영국,,(주)홈초이스,12세이상관람가,드라마,리차드 이어,"엠마 톰슨,스탠리 투치,핀 화이트헤드,벤 채플린"
387,삶,,"145,000",0.0%,"145,000",21,21,1,1,이탈리아,이탈리아,,,,드라마,프란체스카 알치버기,
388,세상에서 가장 아름다운 여인,,"54,000",0.0%,"1,836,000",21,804,1,1,이탈리아,이탈리아,,,,"코미디,드라마",로버트 Z. 레오나드,"지나 롤로브리지다,비토리오 가스만,로버트 알다,안느 베르농"
389,19금 불륜소설,2020-01-06,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",윤준세,
390,19금 연애소설,2020-01-06,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",윤준세,
391,군대,,"139,000",0.0%,"1,215,000",20,180,1,4,한국,한국,,,,다큐멘터리,박경근,
392,디에고,2019-12-12,"183,000",0.0%,"43,301,500",20,"9,804",3,6,영국,영국,,워터홀컴퍼니(주),12세이상관람가,다큐멘터리,아시프 카파디아,디에고 아만도 마라도나
393,스와핑 동창회,2020-01-07,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,성인물(에로),김석만,배유정
394,아내의 애인 3 무삭제,2020-01-20,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김환,
395,유부녀들 : 남편 바꾸기,2020-01-27,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김진우,
396,킹 오브 프리즘 ?샤이니 세븐 스타즈- II 카케루x조지x미나토,2019-04-04,"100,000",0.0%,"81,358,970",20,"9,660",1,1,일본,일본,,동우에이앤이(주),12세이상관람가,애니메이션,히시다 마사카즈,
397,판초에 새벽 바람을 품고,,"100,000",0.0%,"100,000",20,20,1,1,일본,일본,,,15세이상관람가,코미디,히로하라 사토루,"타이가,나카무라 아오이"
398,그레이트 워,,"24,000",0.0%,"24,000",19,19,5,19,미국,미국,,,15세이상관람가,"전쟁,액션",스티븐 루크,
399,벌어진 입,,"57,000",0.0%,"537,000",19,94,1,1,프랑스,프랑스,,,,기타,모리스 피알라,
400,공사의 희로애락,,"126,000",0.0%,"2,174,000",18,364,1,4,한국,한국,,,,다큐멘터리,장윤미,
401,리오네 사니타의 대부,,"111,000",0.0%,"111,000",18,18,1,1,이탈리아,이탈리아,,,,기타,마리오 마르토네,
402,사탄의 태양 아래,,"51,000",0.0%,"191,500",17,35,1,1,,,,,,,,
403,앵커,2019-11-28,"46,000",0.0%,"3,670,200",17,665,1,1,한국,한국,씨네마캣 픽쳐스,씨네마캣 픽쳐스,15세이상관람가,드라마,최정민,박수연
404,1월 단편 상상극장-우리들은 자란다,,"126,400",0.0%,"126,400",16,16,1,4,한국,한국,,,,드라마,,
405,마이 리틀 텔레비전(인디스데이),,"92,500",0.0%,"92,500",16,16,1,10,한국,한국,,,,기타,,
406,벌거벗은 유년 시절,,"74,000",0.0%,"1,160,000",16,189,1,1,프랑스,프랑스,,,,기타,모리스 피알라,
407,입문반,,"18,000",0.0%,"18,000",16,16,1,1,한국,한국,,,,드라마,김현정,"한혜지,박지수"
408,졸업,2019-11-07,"56,000",0.0%,"11,950,300",16,"1,583",1,1,한국,한국,미디어나무,(주)시네마달,12세이상관람가,다큐멘터리,박주환,"이승현,박주환,윤명식,전종완"
409,대학부터 붙어라,,"45,000",0.0%,"558,000",15,111,1,1,프랑스,"프랑스,캐나다",,,,,모리스 피알라,사빈느 오데팽
410,사랑아 나는 통곡한다,,"45,000",0.0%,"9,755,000",15,"4,830",1,1,미국,미국,,,12세이상관람가,멜로/로맨스,윌리엄 와일러,"올리비아 드 하빌랜드,몽고메리 클리프트,랄프 리차드슨,마리암 홉킨스"
411,어쩌다 액션 히어로,2020-01-17,"22,000",0.0%,"22,000",15,15,5,15,멕시코,멕시코,,주식회사 풍경소리,15세이상관람가,"액션,코미디",,
412,정승오 감독 특별전 (인디스데이),,"113,000",0.0%,"113,000",15,15,1,1,한국,한국,,,,기타,정승오,
413,죽음의 표적,1991-01-26,"45,000",0.0%,"105,000",15,45,1,1,미국,미국,,,고등학생이상관람가,액션,드와이트 H. 리틀,"스티븐 시걸,바실 월러스,키스 데이빗"
414,너의 췌장을 먹고 싶어,2017-10-25,"127,000",0.0%,"3,706,485,800",14,"465,603",1,2,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,츠키카와 쇼,"키타가와 케이코,오구리 슌,하마베 미나미,키타무라 타쿠미"
415,수색자,,"42,000",0.0%,"14,480,000",14,"6,535",1,1,미국,미국,워너 브러더스 픽쳐스,,,"액션,드라마,어드벤처,서부극(웨스턴)",존 포드,"존 웨인,제프리 헌터,나탈리 우드,베라 마일즈"
416,우리는 함께 늙지 않는다.,,"58,000",0.0%,"336,000",14,75,1,1,프랑스,"프랑스,이탈리아",,,,드라마,모리스 피알라,"말렌 조버트,장 이안"
417,너의 췌장을 먹고 싶어,2018-11-15,"102,000",0.0%,"410,803,605",13,"52,413",1,3,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"애니메이션,드라마",우시지마 신이치로,"타카스기 마히로,린,후지이 유키요,후쿠시마 준"
418,네비아,,"75,000",0.0%,"75,000",13,13,1,1,이탈리아,이탈리아,,,,기타,,
419,더 와이프,2019-02-27,"79,000",0.0%,"319,918,451",13,"41,538",1,1,영국,영국,,(주)팝엔터테인먼트,15세이상관람가,드라마,비욘 룬게,"글렌 클로즈,조나단 프라이스,맥스 아이언스,크리스찬 슬레이터"
420,앤젤스 셰어: 천사를 위한 위스키,2013-05-16,"132,000",0.0%,"141,978,171",13,"18,111",1,2,영국,"영국,프랑스",,(주)티캐스트,15세이상관람가,"코미디,드라마",켄 로치,"폴 프래니건,존 헨쇼,로저 알람,윌리엄 루에인"
421,르 가르슈,1998-03-14,"58,000",0.0%,"58,000",12,12,1,1,프랑스,프랑스,,,18세 미만인 자는 관람할 수 없는 등급,드라마,모리스 피알라,"제랄딘 페라스,제라르 드빠르디유"
